"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Web Component","0","[WEB] Category Filter","4","0","[Web] Component - Category Filter","0"
"0","Web Component","0","[WEB] Header Component","2","0","[Web] Component - Header Component","0"
"0","Web Component","0","[WEB] Notification component","1","0","[Web] Component - Add Product Notification","0"
"0","Web Component","0","[WEB] Subscription Component","2","1","[Web] Component - Subscription component","0"
"0","UI","0","Component","1","0","Page scroller","0"
"0","UI","0","Component","1","0","[Web] Component - Page scroller","0"
"0","Web Component","0","[WEB] Payment Component","1","0","[Web] Component - Payment Component","0"
"0","[Web] Component - Products Carousel","0","[Web] Component - Products Carousel","3","0","","0"
"0","Web Component","0","[WEB] Brand Filter","1","0","[Web] Component - Brand Filter","0"
"0","Web Component","0","[WEB] Review Component","2","0","[Web] Component - Review Component","0"
"0","[Web] Component - Image Carousel","0","[Web] Component - Image Carousel","3","0","","0"
"0","Web Component","0","[WEB] Notification component","1","0","[Web] Component - Place Order Without Authorization Notification","0"
"0","Web Component","0","[WEB] Product Card","1","0","[Web] Component - Product Card Component","0"
"0","Web Component","0","[WEB] Address Component","1","0","[Web] Component - Delivery Address Component","0"
"0","Web Component","0","[WEB] Search Filter","1","0","[Web] Component - Search Filter","0"
"0","[Web] Component - Products Carousel","1","[Web] Component - Products Carousel","1","0","[Web] Component - Products Carousel","0"
"0","Web Component","0","[WEB] Product Card","1","0","[Web] Component - Product Item Component","0"
"0","Web Component","0","[WEB] Product Details","1","0","[Web] Component - Product Details Component","0"
"0","Web Component","0","[WEB] Place Order Component","1","0","[Web] Component - Payment Component","0"
"0","Web Component","0","[WEB] Address Component","1","0","[Web] Component - Billing Address Component","0"
"0","[Web] Component - Image Carousel","0","[Web] Component - Image Carousel","1","0","[Web] Component - Image Carousel","0"
"0","Web Component","0","[WEB] Product Card","2","0","[Web] Component - Animated Product Card Component","0"
